0000054189 0000000203 01 0 0
0000054583 0000000394 01 0 1
0000054660 0000000077 02 1 1
0000054752 0000000092 03 1 1
0000054756 0000000004 04 1 1
0000054860 0000000104 05 1 1
0000054903 0000000043 06 1 1
0000055712 0000000809 01 0 1
0000055733 0000000021 02 1 1
0000055883 0000000150 03 1 1
0000055992 0000000109 04 1 1
0000056020 0000000028 05 1 1
0000056122 0000000102 06 1 1
0000056219 0000000097 07 1 1
0000057217 0000000998 01 0 0
0000058231 0000001014 01 0 1
0000058263 0000000032 02 1 1
0000058292 0000000029 03 1 1
0000058431 0000000139 04 1 1
0000058494 0000000063 05 1 1
0000058668 0000000174 06 1 1
0000058669 0000000001 07 1 1
0000059173 0000000504 01 0 0
0000059287 0000000114 01 0 1
0000059530 0000000243 01 0 1
0000059531 0000000001 02 1 1
0000059568 0000000037 03 1 1
0000059734 0000000166 04 1 1
0000059799 0000000065 05 1 1
0000059862 0000000063 06 1 1
0000059987 0000000125 07 1 1
0000060074 0000000087 08 1 1
0000060218 0000000144 09 1 1
0000060270 0000000052 10 1 1
0000060437 0000000167 11 1 1
0000060724 0000000287 01 0 0
0000061131 0000000407 01 0 1
0000061329 0000000198 01 0 1
0000061725 0000000396 01 0 0
0000061741 0000000016 02 2 1
0000061808 0000000067 03 1 1
0000061905 0000000097 04 1 1
0000061977 0000000072 05 1 1
0000062107 0000000130 06 1 1
0000062113 0000000006 07 1 1
0000062215 0000000102 08 1 1
0000062219 0000000004 09 1 1
0000062368 0000000149 10 1 1
0000062438 0000000070 11 1 1
0000062696 0000000258 01 0 1
0000062701 0000000005 02 1 1
0000062766 0000000065 03 1 1
0000062953 0000000187 04 1 1
0000063033 0000000080 05 1 1
0000063086 0000000053 06 1 1
0000063181 0000000095 07 1 1
0000063190 0000000009 08 1 1
0000063576 0000000386 01 0 1
0000064043 0000000467 01 0 1
0000064061 0000000018 02 1 1
0000064504 0000000443 01 0 0
0000064935 0000000431 01 0 0
0000065079 0000000144 01 0 0
0000065428 0000000349 01 0 1
0000065440 0000000012 02 1 1
0000065488 0000000048 03 1 1
0000065514 0000000026 04 1 1
0000065581 0000000067 05 1 1
0000065710 0000000129 06 1 1
0000065786 0000000076 07 1 1
0000065931 0000000145 08 1 1
0000066080 0000000149 09 1 1
0000066581 0000000501 01 0 1
0000066631 0000000050 02 1 1
0000068780 0000002149 01 0 1
0000068934 0000000154 02 1 1
0000070067 0000001133 01 0 1
0000070388 0000000321 01 0 1
0000070506 0000000118 02 1 1
0000070581 0000000075 03 1 1
0000070864 0000000283 01 0 1
0000070881 0000000017 02 1 1
0000071027 0000000146 03 1 1
0000071209 0000000182 04 1 1
0000071290 0000000081 05 1 1
0000071414 0000000124 06 1 1
0000071639 0000000225 01 0 1
0000072640 0000001001 01 0 0
0000072985 0000000345 01 0 0
0000073270 0000000285 01 0 0
0000074149 0000000879 01 0 1
0000074206 0000000057 02 1 1
0000074702 0000000496 01 0 0
0000074975 0000000273 01 0 1
0000075142 0000000167 02 1 1
0000075195 0000000053 03 1 1
0000075257 0000000062 04 1 1
0000075266 0000000009 05 1 1
0000075348 0000000082 06 1 1
0000075435 0000000087 07 1 1
0000075562 0000000127 08 1 1
0000075626 0000000064 09 1 1
0000075866 0000000240 01 0 1
0000075873 0000000007 02 1 1
0000076036 0000000163 03 1 1
0000076081 0000000045 04 1 1
0000076392 0000000311 01 0 0
0000076431 0000000039 02 2 1
0000076456 0000000025 03 1 1
0000077196 0000000740 01 0 1
0000077395 0000000199 01 0 1
0000077549 0000000154 02 1 1
0000077572 0000000023 03 1 1
0000077705 0000000133 04 1 1
0000077711 0000000006 05 1 1
0000077868 0000000157 06 1 1
0000078058 0000000190 07 1 1
0000078100 0000000042 08 1 1
0000078204 0000000104 09 1 1
0000078388 0000000184 10 1 1
0000078424 0000000036 11 1 1
0000078594 0000000170 12 1 1
0000078660 0000000066 13 1 1
0000078725 0000000065 14 1 1
0000078805 0000000080 15 1 1
0000079655 0000000850 01 0 1
0000079845 0000000190 02 1 1
0000080382 0000000537 01 0 1
0000080527 0000000145 02 1 1
0000080578 0000000051 03 1 1
0000080687 0000000109 04 1 1
0000080733 0000000046 05 1 1
0000080746 0000000013 06 1 1
0000080848 0000000102 07 1 1
